V1,V2,V3,V4,V5,V6,V7,V8,V9,Y1,Y2,Y3,Y
0.373333333,0.395762577,0.395762577,0.395762577,0.395762577,0.07829002,0.075796494,0.069038198,0.063346576,1,1,1,7
0.226666667,0.501401679,0.501401679,0.501401679,0.501401679,0.065553648,0.059131358,0.061261586,0.053314875,0,0,0,0
0.4,0.431813036,0.431813036,0.431813036,0.431813036,0.067299843,0.068044953,0.059492713,0.056365083,1,1,1,7
0.893333333,0.397760888,0.397760888,0.397760888,0.397760888,0.057649251,0.054485849,0.048032814,0.045252457,1,0,1,5
0.92,0.32272147,0.32272147,0.32272147,0.32272147,0.029170681,0.027452925,0.022978455,0.022006741,1,0,0,1
0.573333333,0.716985812,0.716985812,0.716985812,0.716985812,0.074639589,0.068554844,0.072712298,0.064006103,0,1,1,6
0.066666667,0.589597926,0.589597926,0.589597926,0.589597926,0.24837463,0.252543426,0.259178606,0.261803296,0,1,0,2
0.226666667,0.141701665,0.141701665,0.141701665,0.141701665,0.06444973,0.059940204,0.066138589,0.059451838,1,1,0,3
0.6,0.467541508,0.467541508,0.467541508,0.467541508,0.045917214,0.04431703,0.046753942,0.041152805,0,0,0,0
0.72,0.488848209,0.488848209,0.488848209,0.488848209,0.020565365,0.01894034,0.0207908,0.017940306,1,1,0,3
0.92,0.505409275,0.505409275,0.505409275,0.505409275,0.047386511,0.045357979,0.040658566,0.038336228,0,0,0,0
0.466666667,0.41133214,0.41133214,0.41133214,0.41133214,0.050090175,0.052713611,0.045682487,0.044045989,1,1,0,3
0.16,0.695482572,0.695482572,0.695482572,0.695482572,0.067630357,0.062687033,0.070830739,0.064387833,0,1,0,2
0.346666667,0.551049631,0.551049631,0.551049631,0.551049631,0.064917273,0.064959471,0.056824235,0.053255271,0,1,0,2
0.813333333,0.599577795,0.599577795,0.599577795,0.599577795,0.063027698,0.058156616,0.053903671,0.04931317,0,1,1,6
0.146666667,0.341515036,0.341515036,0.341515036,0.341515036,0.101306279,0.100610357,0.106144262,0.103261038,1,1,0,3
0.746666667,0.586697012,0.586697012,0.586697012,0.586697012,0.039204344,0.035423038,0.03492277,0.031025269,0,1,0,2
0.773333333,0.766015485,0.766015485,0.766015485,0.766015485,0.042728289,0.040250416,0.034536402,0.032484786,0,1,0,2
0.44,0.711032453,0.711032453,0.711032453,0.711032453,0.071103483,0.072371578,0.066644729,0.062539474,0,1,1,6
0.093333333,0.435757178,0.435757178,0.435757178,0.435757178,0.190753888,0.191514034,0.19784186,0.195626461,0,0,1,4
0.386666667,0.555475507,0.555475507,0.555475507,0.555475507,0.053152289,0.055500498,0.047003402,0.045220214,0,1,0,2
0.04,0.536347335,0.536347335,0.536347335,0.536347335,0.52908497,0.532230483,0.535630043,0.538117495,1,1,1,7
0.933333333,0.665372541,0.665372541,0.665372541,0.665372541,0.063105479,0.059814394,0.056910496,0.052834342,0,1,1,6
0.746666667,0.793179963,0.793179963,0.793179963,0.793179963,0.055804498,0.051164367,0.048292275,0.043860034,0,1,1,6
0.586666667,0.529836097,0.529836097,0.529836097,0.529836097,0.03918658,0.037273474,0.039936392,0.035173851,0,0,0,0
0.64,0.492289905,0.492289905,0.492289905,0.492289905,0.0520341,0.049571301,0.051973186,0.046201136,1,1,1,7
0.186666667,0.588655631,0.588655631,0.588655631,0.588655631,0.106062472,0.09458685,0.102692591,0.090086712,0,0,1,4
0.186666667,0.67199117,0.67199117,0.67199117,0.67199117,0.12126191,0.108324099,0.117887805,0.103849028,0,1,1,6
0.52,0.288239392,0.288239392,0.288239392,0.288239392,0.040597021,0.043158102,0.03949116,0.037645971,1,0,0,1
0.573333333,0.697296224,0.697296224,0.697296224,0.697296224,0.053072719,0.049511356,0.05269056,0.04656794,0,1,1,6
0.68,0.468089428,0.468089428,0.468089428,0.468089428,0.048015755,0.04463417,0.047818046,0.041480798,1,1,0,3
0.346666667,0.670650002,0.670650002,0.670650002,0.670650002,0.070540752,0.071704101,0.062505308,0.059166213,0,0,1,4
